sku_id,product_name,product_id,warehouse_id,quantity_on_hand,reorder_point,last_count_date,supplier_code
SKU-17-WH-03,Rain Jacket Women Windbreaker Striped Climbing Raincoats,17,WH-03,19,80,2026-03-14,SUP-F6
SKU-2-WH-02,Mens Casual Premium Slim Fit T-Shirts ,2,WH-02,764,136,2026-03-09,SUP-E5
SKU-5-WH-02,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,5,WH-02,309,101,2026-03-25,SUP-D4
SKU-12-WH-02,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,12,WH-02,399,140,2026-03-29,SUP-E5
SKU-18-WH-02,MBJ Women's Solid Short Sleeve Boat Neck V ,18,WH-02,902,51,2026-02-28,SUP-C3
SKU-3-WH-04,Mens Cotton Jacket,3,WH-04,1000,145,2026-03-06,SUP-D4
SKU-3-WH-03,Mens Cotton Jacket,3,WH-03,963,88,2026-03-21,SUP-F6
SKU-10-WH-02,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,10,WH-02,588,74,2026-03-13,SUP-E5
SKU-3-WH-01,Mens Cotton Jacket,3,WH-01,382,95,2026-03-24,SUP-E5
SKU-2-WH-01,Mens Casual Premium Slim Fit T-Shirts ,2,WH-01,893,73,2026-03-26,SUP-C3
SKU-20-WH-03,DANVOUY Womens T Shirt Casual Cotton Short,20,WH-03,-903,116,2026-03-06,SUP-E5
SKU-5-WH-01,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,5,WH-01,500,11,2026-03-14,SUP-B2
